owner_id,status,agent_id,name,description,price,expired_at,category_id,location_id,created_at,updated_at
15,completed,12,Persistent,Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum. Curabitur in libero ut massa volutpat convallis.,2457,2019-06-30 00:17:49,6,177,2019-05-30 00:17:49,2019-05-30 00:17:49
17,completed,12,tangible,"Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam. Nam tristique tortor eu pede.",7061,2019-07-03 23:32:13,7,272,2019-06-03 23:32:13,2019-06-03 23:32:13
15,completed,19,orchestration,"Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi.",7856,2019-07-04 20:15:12,8,568,2019-06-04 20:15:12,2019-06-04 20:15:12
4,completed,8,Horizontal,"Donec quis orci eget orci vehicula condimentum. Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est.",1454,2019-07-06 21:31:00,5,84,2019-06-06 21:31:00,2019-06-06 21:31:00
13,cancelled,16,object-oriented,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue.",3205,2019-07-08 18:16:28,1,966,2019-06-08 18:16:28,2019-06-08 18:16:28
14,failed,20,grid-enabled,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti. Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum. Aliquam non mauris.,7474,2019-07-10 07:47:18,4,85,2019-06-10 07:47:18,2019-06-10 07:47:18
15,completed,10,capacity,"Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis. Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem. Sed sagittis.",2004,2019-07-12 17:48:08,4,677,2019-06-12 17:48:08,2019-06-12 17:48:08
2,completed,12,Multi-tiered,"Fusce consequat. Nulla nisl. Nunc nisl. Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus.",6587,2019-07-18 23:50:16,4,35,2019-06-18 23:50:16,2019-06-18 23:50:16
3,expired,NULL,Total,Sed accumsan felis. Ut at dolor quis odio consequat varius.,7158,2019-07-20 07:09:26,5,326,2019-06-20 07:09:26,2019-06-20 07:09:26
18,failed,13,pricing structure,"Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est. Phasellus sit amet erat.",4091,2019-07-21 10:09:11,8,589,2019-06-21 10:09:11,2019-06-21 10:09:11
10,cancelled,14,projection,Maecenas pulvinar lobortis est.,3759,2019-07-23 15:35:03,2,828,2019-06-23 15:35:03,2019-06-23 15:35:03
16,completed,17,structure,Duis mattis egestas metus. Aenean fermentum. Donec ut mauris eget massa tempor convallis.,9585,2019-07-24 13:51:43,7,184,2019-06-24 13:51:43,2019-06-24 13:51:43
18,completed,15,Reactive,Pellentesque viverra pede ac diam.,1344,2019-07-26 15:02:36,6,727,2019-06-26 15:02:36,2019-06-26 15:02:36
18,completed,5,Vision-oriented,"Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis. Fusce posuere felis sed lacus.",5482,2019-08-01 18:42:57,6,690,2019-07-01 18:42:57,2019-07-01 18:42:57
3,expired,NULL,system engine,Pellentesque eget nunc.,3188,2019-08-10 16:01:38,7,696,2019-07-10 16:01:38,2019-07-10 16:01:38
12,failed,18,system-worthy,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis. Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor.,4026,2019-08-10 19:43:11,1,533,2019-07-10 19:43:11,2019-07-10 19:43:11
13,completed,16,solution,"Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Etiam vel augue. Vestibulum rutrum rutrum neque. Aenean auctor gravida sem.",6035,2019-08-14 07:52:35,1,169,2019-07-14 07:52:35,2019-07-14 07:52:35
10,completed,1,local,Integer tincidunt ante vel ipsum.,7976,2019-08-16 21:03:58,1,785,2019-07-16 21:03:58,2019-07-16 21:03:58
7,completed,17,optimal,"Pellentesque ultrices mattis odio. Donec vitae nisi. Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla. Sed vel enim sit amet nunc viverra dapibus.",4616,2019-08-18 08:34:47,1,623,2019-07-18 08:34:47,2019-07-18 08:34:47
5,completed,15,Optimized,"Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque. Duis bibendum.",6285,2019-08-20 07:56:49,6,489,2019-07-20 07:56:49,2019-07-20 07:56:49
5,failed,15,Proactive,Sed vel enim sit amet nunc viverra dapibus.,3278,2019-08-21 21:36:04,5,1020,2019-07-21 21:36:04,2019-07-21 21:36:04
6,completed,20,User-centric,"Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis. Duis consequat dui nec nisi volutpat eleifend.",8487,2019-08-24 17:03:14,6,872,2019-07-24 17:03:14,2019-07-24 17:03:14
14,completed,15,infrastructure,"Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo.",4424,2019-08-25 02:04:14,6,267,2019-07-25 02:04:14,2019-07-25 02:04:14
13,failed,12,framework,Sed ante.,9455,2019-08-29 09:14:34,8,58,2019-07-29 09:14:34,2019-07-29 09:14:34
4,completed,7,projection,"Donec quis orci eget orci vehicula condimentum. Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo.",4788,2019-09-01 17:33:18,7,700,2019-08-01 17:33:18,2019-08-01 17:33:18
6,cancelled,5,contextually-based,"Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque. Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla.",9890,2019-09-06 03:08:57,1,501,2019-08-06 03:08:57,2019-08-06 03:08:57
6,completed,19,Vision-oriented,In hac habitasse platea dictumst.,5167,2019-09-07 00:39:23,7,665,2019-08-07 00:39:23,2019-08-07 00:39:23
11,expired,NULL,attitude,Curabitur convallis. Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus.,5012,2019-09-10 11:17:57,6,853,2019-08-10 11:17:57,2019-08-10 11:17:57
8,completed,2,secondary,"Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa.",5132,2019-09-10 21:13:45,6,578,2019-08-10 21:13:45,2019-08-10 21:13:45
18,completed,13,bi-directional,"In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem. Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy.",8347,2019-09-17 02:46:35,2,1089,2019-08-17 02:46:35,2019-08-17 02:46:35
9,failed,5,tertiary,"Praesent lectus. Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio.",2960,2019-09-17 20:07:51,5,465,2019-08-17 20:07:51,2019-08-17 20:07:51
14,completed,17,functionalities,Duis at velit eu est congue elementum. In hac habitasse platea dictumst.,9492,2019-09-18 03:07:21,7,654,2019-08-18 03:07:21,2019-08-18 03:07:21
13,failed,6,asymmetric,"Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem. Fusce consequat. Nulla nisl.",5846,2019-09-18 14:53:58,6,573,2019-08-18 14:53:58,2019-08-18 14:53:58
12,cancelled,20,complexity,"Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo. Morbi ut odio. Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo.",6135,2019-09-20 10:25:26,5,28,2019-08-20 10:25:26,2019-08-20 10:25:26
16,completed,13,Organic,Donec posuere metus vitae ipsum.,8276,2019-09-20 13:46:06,2,208,2019-08-20 13:46:06,2019-08-20 13:46:06
4,completed,14,foreground,"Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa.",7257,2019-09-23 04:50:36,6,696,2019-08-23 04:50:36,2019-08-23 04:50:36
3,completed,4,Cross-platform,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien.",6902,2019-09-24 07:03:13,3,920,2019-08-24 07:03:13,2019-08-24 07:03:13
15,failed,13,needs-based,"Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat.",3218,2019-09-24 11:41:19,1,824,2019-08-24 11:41:19,2019-08-24 11:41:19
15,completed,13,Reverse-engineered,"Nulla nisl. Nunc nisl. Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa.",5281,2019-09-27 07:34:05,2,143,2019-08-27 07:34:05,2019-08-27 07:34:05
1,completed,2,mission-critical,Morbi non quam nec dui luctus rutrum. Nulla tellus. In sagittis dui vel nisl.,2765,2019-09-30 12:34:34,6,899,2019-08-31 12:34:34,2019-08-31 12:34:34
20,completed,13,portal,Suspendisse ornare consequat lectus.,8783,2019-10-01 03:19:34,1,122,2019-09-01 03:19:34,2019-09-01 03:19:34
19,In progress,7,full-range,Proin risus.,1554,2019-10-10 06:12:32,2,26,2019-09-10 06:12:32,2019-09-10 06:12:32
7,In progress,1,encryption,"Aenean lectus. Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum. Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo.",1579,2019-10-20 03:48:49,4,956,2019-09-20 03:48:49,2019-09-20 03:48:49
14,In progress,3,time-frame,Suspendisse accumsan tortor quis turpis. Sed ante.,1195,2019-10-25 22:34:27,6,1012,2019-09-25 22:34:27,2019-09-25 22:34:27
13,new,3,Self-enabling,"Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl.",2169,2019-11-05 14:03:43,1,85,2019-10-05 14:03:43,2019-10-05 14:03:43
20,new,11,De-engineered,"Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros. Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue.",1792,2019-11-09 17:08:17,2,95,2019-10-09 17:08:17,2019-10-09 17:08:17
1,new,9,secured line,Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem. Quisque ut erat. Curabitur gravida nisi at nibh.,8359,2019-11-13 16:17:57,1,561,2019-10-13 16:17:57,2019-10-13 16:17:57
18,new,9,Integrated,Vivamus tortor. Duis mattis egestas metus. Aenean fermentum.,4993,2019-11-15 06:37:43,7,290,2019-10-15 06:37:43,2019-10-15 06:37:43
2,new,11,zero administration,"Vivamus vel nulla eget eros elementum pellentesque. Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla.",6697,2019-11-17 01:29:36,4,767,2019-10-17 01:29:36,2019-10-17 01:29:36
9,new,15,24/7,"Donec dapibus. Duis at velit eu est congue elementum. In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo.",4394,2019-11-19 20:45:21,4,1002,2019-10-19 20:45:21,2019-10-19 20:45:21